paper_id,year,venue,citations,doi,arxiv_id,abstract_word_count,n_model_families,model_families_summary,asset_classes,rds_score,rds_reason,rds_confidence,needs_review,n_code_urls,code_urls_first,n_data_mentions,data_mentions_summary,headline_phrases,n_tables,n_figures,n_sections_detected,pdf_size_kb,title
P01_christensen_2023,2023,Journal of Financial Econometrics,85,10.1093/jjfinec/nbac020,,154,5,"garch_family(1),har_family(2),ml_family(11),classical(2),ensemble(3)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,15,12,8,665,A Machine Learning Approach to Volatility Forecasting
P02_bucci_2020,2020,Journal of Financial Econometrics,105,10.1093/jjfinec/nbaa008,,136,4,"garch_family(1),ml_family(8),classical(3),ensemble(1)","equity,crypto,fx",0,"no code, no public data detected",0.5,True,0,,0,,The results show that recurrent neural networks are able to outperform all the traditional econometric methods,6,9,8,752,Realized Volatility Forecasting with Neural Networks
P03_luong_2018,2018,Journal of Risk and Financial Management (MDPI),53,10.3390/jrfm11040061,,78,5,"garch_family(4),har_family(2),ml_family(6),classical(2),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,we demonstrate improvements of forecast accuracy for the proposed model,3,3,22,490,Forecasting of Realised Volatility with the Random Forests Algorithm
P04_bennedsen_2022,2022,Journal of Financial Econometrics,54,10.1093/jjfinec/nbaa049,,142,3,"har_family(1),ml_family(3),classical(3)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,"we find evidence consistent with the hypothesis that time series of realized measures of volatility are both rough and very persistent | we find that the models proposed in this paper outperform a wide array of benchmarks considerably, indicating that it pays off to exploit both roughness and",5,7,9,1075,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility
P05_buccheri_2021,2021,Journal of Financial Econometrics,20,10.1093/jjfinec/nbz025,,129,3,"garch_family(1),har_family(2),classical(1)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,13,14,10,1428,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies
P06_caporin_2024,2024,Journal of Financial Econometrics,2,10.1093/jjfinec/nbae014,,84,4,"garch_family(1),har_family(1),ml_family(1),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,we show that exploiting the informative content of hi­ erarchies improves the forecast accuracy,7,11,12,1587,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach
P07_hong_2023,2023,Journal of Financial Econometrics,18,10.1093/jjfinec/nbab006,,184,5,"garch_family(1),har_family(1),ml_family(1),classical(2),ensemble(1)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,32,11,9,1253,Volatility Estimation and Forecasts Based on Price Durations
P08_zhuo_2024,2024,Risks (MDPI),8,10.3390/risks12010012,,194,5,"garch_family(1),har_family(4),ml_family(7),classical(2),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,5,2,25,668,A Hybrid Model for Forecasting Realized Volatility Based on Heterogeneous Autoregressive Model and Support Vector Regression
P09_rubio_2022,2022,Mathematics (MDPI),44,10.3390/math10132181,,155,4,"garch_family(1),ml_family(7),classical(3),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,9,10,24,1390,Forecasting Selected Colombian Shares Using a Hybrid ARIMA-SVR Model
P10_shen_2021,2021,Journal of Risk and Financial Management (MDPI),39,10.3390/jrfm14070337,,208,3,"garch_family(2),ml_family(6),classical(3)","equity,crypto,fx",1,public_data(2) but no code URL,0.7,False,0,,2,"coinmarketcap,coinmarketcap.com",The results demonstrate that the RNN outperforms GARCH and EWMA in average forecasting performance,7,12,30,3637,Bitcoin Return Volatility Forecasting: A Comparative Study between GARCH and RNN
P11_ersin_2023,2023,Mathematics (MDPI),23,10.3390/math11081785,,297,4,"garch_family(4),ml_family(10),classical(1),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,google trends,,8,5,35,2438,Financial Volatility Modeling with the GARCH-MIDAS-LSTM Approach
P12_kim_2021,2021,Mathematics (MDPI),34,10.3390/math9141614,,97,3,"garch_family(3),ml_family(2),classical(3)","equity,crypto,fx,commodity",1,public_data(2) but no code URL,0.7,False,0,,2,"coinmarketcap,coinmarketcap.com","We find that when we deal with extremely volatile financial data, such as cryptocurrencies, the SV model performs better than the GARCH family models",10,6,18,1131,Forecasting the Volatility of the Cryptocurrency Market by GARCH and Stochastic Volatility
P13_wang_2023,2023,Mathematics (MDPI),6,10.3390/math11183937,,157,4,"garch_family(2),ml_family(7),classical(1),ensemble(2)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,6,2,27,1166,Risk Analysis of the Chinese Financial Market with the Application of a Novel Hybrid Volatility Prediction Model
P14_zahid_2022,2022,Risks (MDPI),21,10.3390/risks10120237,,134,4,"garch_family(6),ml_family(10),classical(1),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,7,6,32,3303,Forecasting Bitcoin Volatility Using Hybrid GARCH Models with Machine Learning
P15_mostafa_2021,2021,Journal of Risk and Financial Management (MDPI),28,10.3390/jrfm14090421,,164,4,"garch_family(2),ml_family(5),classical(2),ensemble(1)","equity,crypto,fx,commodity",1,public_data(4) but no code URL,0.7,False,0,,4,"coingecko,coinmarketcap,coinmarketcap.com,publicly available",,6,11,15,3154,GJR-GARCH Volatility Modeling under NIG and ANN for Predicting Top Cryptocurrencies
P16_bohte_2019,2019,Journal of Risk and Financial Management (MDPI),25,10.3390/jrfm12030150,,104,4,"garch_family(1),ml_family(1),classical(1),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,the results show that stochastic volatility is significantly outperforming the benchmark of VAR in both point and density forecasting,7,3,19,580,Comparing the Forecasting of Cryptocurrencies by Bayesian Time-Varying Volatility Models
P17_dipersio_2021,2021,Risks (MDPI),17,10.3390/risks9020033,,214,4,"garch_family(1),ml_family(5),classical(1),ensemble(1)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,"we show that, via a forward-looking VolTarget strategy while using an ML-based prediction as the input, the average outcome for an investment in a drawdown p",0,18,13,5183,Forward-Looking Volatility Estimation for Risk-Managed Investment Strategies during COVID-19
P18_lei_2021,2021,Mathematics (MDPI),16,10.3390/math9040320,,203,4,"garch_family(3),har_family(1),ml_family(7),classical(2)","equity,crypto",0,"no code, no public data detected",0.5,True,0,,0,,,14,7,34,1848,Volatility Forecasting for High-Frequency Financial Data Based on Web Search Index and Deep Learning
P19_zhang_2025,2025,Mathematics (MDPI),8,10.3390/math13111889,,152,5,"garch_family(2),har_family(2),ml_family(11),classical(3),ensemble(2)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,The results indicate that the CNN-BiLSTM-Attention model yields the most accurate forecasts compared to the benchmark models,15,6,24,1610,Forecasting Stock Market Volatility Using CNN-BiLSTM-Attention Model with Mixed-Frequency Data
P20_lux_2020,2020,arXiv q-fin,0,,2009.06910,340,4,"garch_family(4),ml_family(4),classical(1),ensemble(1)","equity,crypto,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,10,7,24,1777,Data driven value-at-risk forecasting using a SVR-GARCH-KDE hybrid
P21_aradi_2020,2020,arXiv q-fin,0,,2009.05508,158,2,"ml_family(4),classical(1)","equity,crypto,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,quandl,,1,2,7,275,Volatility Forecasting with 1-dimensional CNNs via transfer learning
P22_bucci_2024,2024,arXiv q-fin,0,,2412.09517,142,5,"garch_family(1),har_family(1),ml_family(4),classical(1),ensemble(2)","equity,crypto,fx,commodity",0,"no code, no public data detected",0.5,True,0,,0,,"We demonstrate the efficacy of our approach using daily realized covariance matrices for the 50 most capitalized companies in the S&P 500 index, showing that our me",4,0,7,270,Geometric Deep Learning for Realized Covariance Matrix Forecasting
P23_zhao_2024,2024,arXiv q-fin,0,,2411.17136,228,4,"garch_family(3),ml_family(5),classical(1),ensemble(2)","equity,crypto",0,"no code, no public data detected",0.5,True,0,,0,,,4,6,21,1446,Autoencoder Enhanced Realised GARCH on Volatility Forecasting
P24_kumar_2024,2024,arXiv q-fin,0,,2410.16858,173,4,"garch_family(3),ml_family(10),classical(2),ensemble(1)","equity,crypto",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,7,7,24,2271,Dynamic graph neural networks for enhanced volatility prediction in financial markets
P25_xu_2024,2024,arXiv q-fin,0,,2410.00288,271,3,"garch_family(4),ml_family(5),ensemble(1)","equity,crypto,fx,commodity",2,code(1)+public_data(2),0.9,False,1,https://zenodo.org/record/7975104,2,"yahoo finance,finance.yahoo.com",,0,7,25,1269,GARCH-Informed Neural Networks for Volatility Prediction in Financial Markets
P26_roszyk_2024,2024,arXiv q-fin,0,,2407.16780,214,5,"garch_family(5),har_family(1),ml_family(10),classical(2),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,14,18,29,1576,The Hybrid Forecast of S&P 500 Volatility ensembled from VIX GARCH and LSTM models
P27_tondapu_2024,2024,arXiv q-fin,0,,2402.07435,258,4,"garch_family(6),ml_family(7),classical(3),ensemble(2)","equity,crypto,fx,commodity",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,we find no definitive superiority in either approach across the tested scenarios,0,0,28,1299,Analyzing Currency Fluctuations: A Comparative Study of GARCH EWMA and IV Models for GBP/USD and EUR/GBP Pairs
P28_wei_2025,2025,arXiv q-fin,0,,2504.09380,201,4,"garch_family(6),ml_family(9),classical(1),ensemble(2)","equity,crypto,fx",1,public_data(1) but no code URL,0.7,False,0,,1,yahoo finance,,11,4,11,1565,Unified GARCH-Recurrent Neural Network in Financial Volatility Forecasting
P29_wang_2025,2025,arXiv q-fin,0,,2506.02796,146,4,"garch_family(1),ml_family(5),classical(1),ensemble(1)","equity,crypto",0,"no code, no public data detected",0.5,True,0,,0,,,16,2,17,1659,Deep Learning Enhanced Multivariate GARCH
P30_blake_2025,2025,arXiv q-fin,0,,2510.03236,246,5,"garch_family(1),har_family(1),ml_family(8),classical(1),ensemble(1)","equity,crypto,commodity",0,"no code, no public data detected",0.5,True,0,,0,,,9,4,10,840,Improving S&P 500 Volatility Forecasting through Regime-Switching Methods
